"Method","Uri","Modules","OurName","Action","ShipsAs","CounterpartUris","CounterpartShipsAs"
"DELETE","/applications/{}/appmanagementpolicies/{}/$ref","Applications","Remove-MgApplicationAppManagementPolicyByRef","rename","System.Object[]","/applications/{}/appmanagementpolicies/$ref",""
"DELETE","/applications/{}/appmanagementpolicies/$ref","Applications","Remove-MgApplicationAppManagementPolicyByRef","suppress","System.Object[]","/applications/{}/appmanagementpolicies/{}/$ref","Remove-MgApplicationAppManagementPolicyAppManagementPolicyByRef"
"DELETE","/applications/{}/owners/{}/$ref","Applications","Remove-MgApplicationOwnerByRef","rename","System.Object[]","/applications/{}/owners/$ref",""
"DELETE","/applications/{}/owners/$ref","Applications","Remove-MgApplicationOwnerByRef","suppress","System.Object[]","/applications/{}/owners/{}/$ref","Remove-MgApplicationOwnerDirectoryObjectByRef"
"DELETE","/applications/{}/tokenissuancepolicies/{}/$ref","Applications","Remove-MgApplicationTokenIssuancePolicyByRef","rename","System.Object[]","/applications/{}/tokenissuancepolicies/$ref",""
"DELETE","/applications/{}/tokenissuancepolicies/$ref","Applications","Remove-MgApplicationTokenIssuancePolicyByRef","suppress","System.Object[]","/applications/{}/tokenissuancepolicies/{}/$ref","Remove-MgApplicationTokenIssuancePolicyTokenIssuancePolicyByRef"
"DELETE","/applications/{}/tokenlifetimepolicies/{}/$ref","Applications","Remove-MgApplicationTokenLifetimePolicyByRef","rename","System.Object[]","/applications/{}/tokenlifetimepolicies/$ref",""
"DELETE","/applications/{}/tokenlifetimepolicies/$ref","Applications","Remove-MgApplicationTokenLifetimePolicyByRef","suppress","System.Object[]","/applications/{}/tokenlifetimepolicies/{}/$ref","Remove-MgApplicationTokenLifetimePolicyTokenLifetimePolicyByRef"
"DELETE","/devices/{}/registeredowners/{}/$ref","Identity.DirectoryManagement","Remove-MgDeviceRegisteredOwnerByRef","rename","System.Object[]","/devices/{}/registeredowners/$ref",""
"DELETE","/devices/{}/registeredowners/$ref","Identity.DirectoryManagement","Remove-MgDeviceRegisteredOwnerByRef","suppress","System.Object[]","/devices/{}/registeredowners/{}/$ref","Remove-MgDeviceRegisteredOwnerDirectoryObjectByRef"
"DELETE","/devices/{}/registeredusers/{}/$ref","Identity.DirectoryManagement","Remove-MgDeviceRegisteredUserByRef","rename","System.Object[]","/devices/{}/registeredusers/$ref",""
"DELETE","/devices/{}/registeredusers/$ref","Identity.DirectoryManagement","Remove-MgDeviceRegisteredUserByRef","suppress","System.Object[]","/devices/{}/registeredusers/{}/$ref","Remove-MgDeviceRegisteredUserDirectoryObjectByRef"
"DELETE","/directory/administrativeunits/{}/members/{}/$ref","Identity.DirectoryManagement","Remove-MgDirectoryAdministrativeUnitMemberByRef","rename","System.Object[]","/directory/administrativeunits/{}/members/$ref",""
"DELETE","/directory/administrativeunits/{}/members/$ref","Identity.DirectoryManagement","Remove-MgDirectoryAdministrativeUnitMemberByRef","suppress","System.Object[]","/directory/administrativeunits/{}/members/{}/$ref","Remove-MgDirectoryAdministrativeUnitMemberDirectoryObjectByRef"
"DELETE","/directoryroles/{}/members/{}/$ref","Identity.DirectoryManagement","Remove-MgDirectoryRoleMemberByRef","rename","System.Object[]","/directoryroles/{}/members/$ref",""
"DELETE","/directoryroles/{}/members/$ref","Identity.DirectoryManagement","Remove-MgDirectoryRoleMemberByRef","suppress","System.Object[]","/directoryroles/{}/members/{}/$ref","Remove-MgDirectoryRoleMemberDirectoryObjectByRef"
"DELETE","/education/classes/{}/assignments/{}/categories/{}/$ref","Education","Remove-MgEducationClassAssignmentCategoryByRef","rename","System.Object[]","/education/classes/{}/assignments/{}/categories/$ref",""
"DELETE","/education/classes/{}/assignments/{}/categories/$ref","Education","Remove-MgEducationClassAssignmentCategoryByRef","suppress","System.Object[]","/education/classes/{}/assignments/{}/categories/{}/$ref","Remove-MgEducationClassAssignmentCategoryEducationCategoryByRef"
"DELETE","/education/classes/{}/members/{}/$ref","Education","Remove-MgEducationClassMemberByRef","rename","System.Object[]","/education/classes/{}/members/$ref",""
"DELETE","/education/classes/{}/members/$ref","Education","Remove-MgEducationClassMemberByRef","suppress","System.Object[]","/education/classes/{}/members/{}/$ref","Remove-MgEducationClassMemberEducationUserByRef"
"DELETE","/education/classes/{}/teachers/{}/$ref","Education","Remove-MgEducationClassTeacherByRef","rename","System.Object[]","/education/classes/{}/teachers/$ref",""
"DELETE","/education/classes/{}/teachers/$ref","Education","Remove-MgEducationClassTeacherByRef","suppress","System.Object[]","/education/classes/{}/teachers/{}/$ref","Remove-MgEducationClassTeacherEducationUserByRef"
"DELETE","/education/me/assignments/{}/categories/{}/$ref","Education","Remove-MgEducationMeAssignmentCategoryByRef","rename","System.Object[]","/education/me/assignments/{}/categories/$ref",""
"DELETE","/education/me/assignments/{}/categories/$ref","Education","Remove-MgEducationMeAssignmentCategoryByRef","suppress","System.Object[]","/education/me/assignments/{}/categories/{}/$ref","Remove-MgEducationMeAssignmentCategoryEducationCategoryByRef"
"DELETE","/education/schools/{}/classes/{}/$ref","Education","Remove-MgEducationSchoolClassByRef","rename","System.Object[]","/education/schools/{}/classes/$ref",""
"DELETE","/education/schools/{}/classes/$ref","Education","Remove-MgEducationSchoolClassByRef","suppress","System.Object[]","/education/schools/{}/classes/{}/$ref","Remove-MgEducationSchoolClassEducationClassByRef"
"DELETE","/education/schools/{}/users/{}/$ref","Education","Remove-MgEducationSchoolUserByRef","rename","System.Object[]","/education/schools/{}/users/$ref",""
"DELETE","/education/schools/{}/users/$ref","Education","Remove-MgEducationSchoolUserByRef","suppress","System.Object[]","/education/schools/{}/users/{}/$ref","Remove-MgEducationSchoolUserEducationUserByRef"
"DELETE","/education/users/{}/assignments/{}/categories/{}/$ref","Education","Remove-MgEducationUserAssignmentCategoryByRef","rename","System.Object[]","/education/users/{}/assignments/{}/categories/$ref",""
"DELETE","/education/users/{}/assignments/{}/categories/$ref","Education","Remove-MgEducationUserAssignmentCategoryByRef","suppress","System.Object[]","/education/users/{}/assignments/{}/categories/{}/$ref","Remove-MgEducationUserAssignmentCategoryEducationCategoryByRef"
"DELETE","/groups/{}/acceptedsenders/{}/$ref","Groups","Remove-MgGroupAcceptedSenderByRef","rename","System.Object[]","/groups/{}/acceptedsenders/$ref",""
"DELETE","/groups/{}/acceptedsenders/$ref","Groups","Remove-MgGroupAcceptedSenderByRef","suppress","System.Object[]","/groups/{}/acceptedsenders/{}/$ref","Remove-MgGroupAcceptedSenderDirectoryObjectByRef"
"DELETE","/groups/{}/members/{}/$ref","Groups","Remove-MgGroupMemberByRef","rename","System.Object[]","/groups/{}/members/$ref",""
"DELETE","/groups/{}/members/$ref","Groups","Remove-MgGroupMemberByRef","suppress","System.Object[]","/groups/{}/members/{}/$ref","Remove-MgGroupMemberDirectoryObjectByRef"
"DELETE","/groups/{}/owners/{}/$ref","Groups","Remove-MgGroupOwnerByRef","rename","System.Object[]","/groups/{}/owners/$ref",""
"DELETE","/groups/{}/owners/$ref","Groups","Remove-MgGroupOwnerByRef","suppress","System.Object[]","/groups/{}/owners/{}/$ref","Remove-MgGroupOwnerDirectoryObjectByRef"
"DELETE","/groups/{}/photo/$value","Groups","Remove-MgGroupPhotoContent","keep","System.Object[]","/groups/{}/photos/{}/$value",""
"DELETE","/groups/{}/photos/{}/$value","Groups","Remove-MgGroupPhotoContent","suppress","System.Object[]","/groups/{}/photo/$value","Remove-MgGroupPhotoContent"
"DELETE","/groups/{}/rejectedsenders/{}/$ref","Groups","Remove-MgGroupRejectedSenderByRef","rename","System.Object[]","/groups/{}/rejectedsenders/$ref",""
"DELETE","/groups/{}/rejectedsenders/$ref","Groups","Remove-MgGroupRejectedSenderByRef","suppress","System.Object[]","/groups/{}/rejectedsenders/{}/$ref","Remove-MgGroupRejectedSenderDirectoryObjectByRef"
"DELETE","/groups/{}/settings/{}","Groups","Remove-MgGroupSetting","keep","System.Object[]","/groupsettings/{}",""
"DELETE","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreGroupSetChild","keep","System.Object[]","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/children/{}",""
"DELETE","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreGroupSetChild","suppress","System.Object[]","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}","Remove-MgGroupSiteTermStoreGroupSetChild"
"DELETE","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreGroupSetChildRelation","keep","System.Object[]","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/relations/{}",""
"DELETE","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreGroupSetChildRelation","suppress","System.Object[]","/groups/{}/sites/{}/termstore/groups/{}/sets/{}/children/{}/children/{}/relations/{}","Remove-MgGroupSiteTermStoreGroupSetChildRelation"
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreSetChild","keep","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/children/{}/children/{}",""
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/children/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreSetChild","suppress","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/children/{}","Remove-MgGroupSiteTermStoreSetChild"
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/children/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreSetChildRelation","keep","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/children/{}/relations/{}",""
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreSetChildRelation","suppress","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/children/{}/children/{}/relations/{}","Remove-MgGroupSiteTermStoreSetChildRelation"
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreSetParentGroupSetChild","keep","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/children/{}",""
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/children/{}","Sites","Remove-MgGroupSiteTermStoreSetParentGroupSetChild","suppress","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}","Remove-MgGroupSiteTermStoreSetParentGroupSetChild"
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreSetParentGroupSetChildRelation","keep","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/relations/{}",""
"DELETE","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/relations/{}","Sites","Remove-MgGroupSiteTermStoreSetParentGroupSetChildRelation","suppress","System.Object[]","/groups/{}/sites/{}/termstore/sets/{}/parentgroup/sets/{}/children/{}/children/{}/relations/{}","Remove-MgGroupSiteTermStoreSetParentGroupSetChildRelation"
"DELETE","/groupsettings/{}","Groups","Remove-MgGroupSetting","suppress","System.Object[]","/groups/{}/settings/{}","Remove-MgGroupSetting"
"DELETE","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onattributecollection/graph.onattributecollectionexternalusersselfservicesignup/attributes/{}/$ref","Identity.SignIns","Remove-MgIdentityAuthenticationEventFlowAsExternalUserSelfServiceSignUpEventFlowOnAttributeCollectionAsOnAttributeCollectionExternalUserSelfServiceSignUpAttributeByRef","suppress","System.Object[]","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onattributecollection/graph.onattributecollectionexternalusersselfservicesignup/attributes/$ref",""
"DELETE","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onattributecollection/graph.onattributecollectionexternalusersselfservicesignup/attributes/$ref","Identity.SignIns","Remove-MgIdentityAuthenticationEventFlowAsExternalUserSelfServiceSignUpEventFlowOnAttributeCollectionAsOnAttributeCollectionExternalUserSelfServiceSignUpAttributeByRef","suppress","System.Object[]","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onattributecollection/graph.onattributecollectionexternalusersselfservicesignup/attributes/{}/$ref",""
"DELETE","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onauthenticationmethodloadstart/graph.onauthenticationmethodloadstartexternalusersselfservicesignup/identityproviders/{}/$ref","Identity.SignIns","Remove-MgIdentityAuthenticationEventFlowAsExternalUserSelfServiceSignUpEventFlowOnAuthenticationMethodLoadStartAsOnAuthenticationMethodLoadStartExternalUserSelfServiceSignUpIdentityProviderByRef","suppress","System.Object[]","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onauthenticationmethodloadstart/graph.onauthenticationmethodloadstartexternalusersselfservicesignup/identityproviders/$ref",""
"DELETE","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onauthenticationmethodloadstart/graph.onauthenticationmethodloadstartexternalusersselfservicesignup/identityproviders/$ref","Identity.SignIns","Remove-MgIdentityAuthenticationEventFlowAsExternalUserSelfServiceSignUpEventFlowOnAuthenticationMethodLoadStartAsOnAuthenticationMethodLoadStartExternalUserSelfServiceSignUpIdentityProviderByRef","suppress","System.Object[]","/identity/authenticationeventsflows/{}/graph.externalusersselfservicesignupeventsflow/onauthenticationmethodloadstart/graph.onauthenticationmethodloadstartexternalusersselfservicesignup/identityproviders/{}/$ref",""
"DELETE","/identity/b2xuserflows/{}/userflowidentityproviders/{}/$ref","Identity.SignIns","Remove-MgIdentityB2xUserFlowUserFlowIdentityProviderByRef","rename","System.Object[]","/identity/b2xuserflows/{}/userflowidentityproviders/$ref",""
"DELETE","/identity/b2xuserflows/{}/userflowidentityproviders/$ref","Identity.SignIns","Remove-MgIdentityB2xUserFlowUserFlowIdentityProviderByRef","suppress","System.Object[]","/identity/b2xuserflows/{}/userflowidentityproviders/{}/$ref","Remove-MgIdentityB2XUserFlowIdentityProviderBaseByRef"
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRole","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScope","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRole","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScope","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceScopeResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScope","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRole","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScope","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRole","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResource","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/roles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/roles/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceUploadSession","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/catalogs/{}/resourcescopes/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceCatalogResourceScopeResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/catalogs/{}/resources/{}/scopes/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatibleaccesspackages/{}/$ref","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementAccessPackageIncompatibleAccessPackageByRef","suppress","System.Object[]","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatibleaccesspackages/$ref","Remove-MgEntitlementManagementAccessPackageIncompatibleAccessPackageByRef"
"DELETE","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatibleaccesspackages/$ref","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementAccessPackageIncompatibleAccessPackageByRef","rename","System.Object[]","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatibleaccesspackages/{}/$ref",""
"DELETE","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatiblegroups/{}/$ref","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementAccessPackageIncompatibleGroupByRef","suppress","System.Object[]","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatiblegroups/$ref","Remove-MgEntitlementManagementAccessPackageIncompatibleGroupByRef"
"DELETE","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatiblegroups/$ref","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementAccessPackageIncompatibleGroupByRef","rename","System.Object[]","/identitygovernance/entitlementmanagement/accesspackages/{}/incompatiblegroups/{}/$ref",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRole","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResource","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/scopes/{}","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceScope","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceScopeResource","rename","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceScopeResourceUploadSession","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceScopeResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/scopes/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceUploadSession","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}/resource/uploadsessions/{}/files/{}/$value","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRoleResourceUploadSessionFileContent","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}/resource/uploadsessions/{}/files/{}/$value",""
"DELETE","/identitygovernance/entitlementmanagement/catalogs/{}/resources/{}/roles/{}","Identity.Governance","Remove-MgIdentityGovernanceEntitlementManagementCatalogResourceRole","suppress","System.Object[]","/identitygovernance/entitlementmanagement/catalogs/{}/resourceroles/{}","Remove-MgEntitlementManagementCatalogResourceRole"
